item_id,denumire,total_valoare,cantitate,pret_unitar,moneda,validare,sursa,source_value_row,source_qty_row,observatii
MED-0039,"Ac chirurgical GER 566-2,3,4",424.95,36.0,11.8042,MDL,OK,Лист3,88,89,
MED-0040,"Ac chirurgical GER 566-5,6,7,8,9,12,13,14,16",2288.52,216.0,10.595,MDL,OK,Лист3,90,91,
MED-0041,"Ac chirurgical GT 516-0,00,000",1325.04,72.0,18.4033,MDL,OK,Лист3,92,93,
MED-0042,"Ac chirurgical GT 516-14,15,16",1151.88,96.0,11.9988,MDL,OK,Лист3,94,95,
MED-0043,Acarilbial sol.cutan.277mg/ml 200ml N1,724.82,7.0,103.5457,MDL,OK,Лист3,96,97,
MED-0044,Aceclofenac 100mg comp.N30,105.0,150.0,0.7,MDL,OK,Лист3,98,99,
MED-0045,Acesol sol.perf400ml N1,4039.2,200.0,20.196,MDL,OK,Лист3,100,101,
MED-0046,Aciclovir caps.200mg N30,37.8,1050.0,0.036,MDL,OK,Лист3,102,103,
MED-0047,"Acid acetilsalicilic comp. 0,5 g N10",58.34,300.0,0.1945,MDL,OK,Лист3,104,105,
MED-0048,Acid aminocapronic sol. perf. 5% 100 ml N1,1142.5,49.0,23.3163,MDL,OK,Лист3,106,107,
MED-0049,Acid ascorbic 500mg/5ml N5,3308.8,2350.0,1.408,MDL,OK,Лист3,108,109,
MED-0050,Acid ascorbic draj.50mgN50,26.76,200.0,0.1338,MDL,OK,Лист3,110,111,
MED-0051,Acid folic comp.1mg N60,42.06,380.0,0.1107,MDL,OK,Лист3,112,113,
MED-0052,Acid folic comp.5mg N50,51.66,150.0,0.3444,MDL,OK,Лист3,114,115,
MED-0053,Acid folic comp.5mg N60,76.8,240.0,0.32,MDL,OK,Лист3,116,117,
MED-0054,Acid nicotinic sol. inj. 1% 1 ml N10,2275.42,1840.0,1.2366,MDL,OK,Лист3,118,119,
MED-0055,Actilyse liof.solv.sol.perf.50mg+50ml,180254.65,26.0,6932.8712,MDL,OK,Лист3,120,121,
MED-0056,Actrapid sol.inj. 100 UI/10ml N1,20346.01,99.0,205.5153,MDL,OK,Лист3,122,123,
MED-0057,Ademetionina pulb./solv.pt sol.inj. 500mg N5,29659.69,735.0,40.3533,MDL,OK,Лист3,124,125,
MED-0058,Ademta comp.400mg N20,1287.49,80.0,16.0936,MDL,OK,Лист3,126,127,
MED-0059,Adrenalin sol. inj. 1mg/ml N10,200.72,70.0,2.8674,MDL,OK,Лист3,128,129,
MED-0060,Albendazol - BP comp 400mg N10,573.4,100.0,5.734,MDL,OK,Лист3,130,131,
MED-0061,Alcool etilic 70% sol. alc. 70% 1000 ml N1 *,3982.4,116000.0,0.0343,MDL,OK,Лист3,132,133,
MED-0062,Alcool etilic 96% 100ml N1,288.15,29.0,9.9362,MDL,OK,Лист3,134,135,
MED-0063,Alcool etilic 96% sol. alc. 1000 ml N1,1878.14,37000.0,0.0508,MDL,OK,Лист3,136,137,
MED-0064,Alcool etilic70% 100ml N1,128.74,20.0,6.437,MDL,OK,Лист3,138,139,
MED-0065,Aleze 90x90 cm,22.57,10.0,2.257,MDL,OK,Лист3,140,141,
MED-0066,Aleze de unica folosinta 60x90 cm N30,1299.6,570.0,2.28,MDL,OK,Лист3,142,143,
MED-0067,Aleze de unica folosinta 90x90 cm N30,136.8,60.0,2.28,MDL,OK,Лист3,144,145,
MED-0068,Algin baby susp.orala 100mg/5ml N1,1136.11,41.0,27.71,MDL,OK,Лист3,146,147,
MED-0069,Algodex comp.25mg N20,424.2,500.0,0.8484,MDL,OK,Лист3,148,149,
MED-0070,Algodex sol. inj. 25mg 2 ml N10,8231.9,3130.0,2.63,MDL,OK,Лист3,150,151,
MED-0071,AlgoSpazmin sol.inj.500mg+2+0.2mg/ml 5ml N10,10234.64,2600.0,3.9364,MDL,OK,Лист3,152,153,
MED-0072,Allohol comp.N50,480.6,1250.0,0.3845,MDL,OK,Лист3,154,155,
MED-0073,Alprazolam 0.5 mg comp N30,839.05,1830.0,0.4585,MDL,OK,Лист3,156,157,
MED-0074,Alprazolam LPH 0.25mgcomp.N30,9.72,30.0,0.324,MDL,OK,Лист3,158,159,
MED-0075,Alventa caps.75mg N10x3,96.15,90.0,1.0683,MDL,OK,Лист3,160,161,
MED-0076,Ambrex 30mg/5ml 150ml N1,26.94,1.0,26.94,MDL,OK,Лист3,162,163,
MED-0077,Ambroxol comp. 30 mg N10x2,1756.93,6990.0,0.2513,MDL,OK,Лист3,164,165,
MED-0078,Aminazin comprimate  25 mg N20,53.56,80.0,0.6695,MDL,OK,Лист3,166,167,
MED-0079,"Aminazin sol. inj. 2,5% 2 ml N10",357.58,140.0,2.5541,MDL,OK,Лист3,168,169,
MED-0080,Aminoplasmal  10% sol. perf.500 ml N1,7020.93,45.0,156.0207,MDL,OK,Лист3,170,171,
MED-0081,Aminoplasmal Hepa 10% sol. perf.  500 ml N1,31091.12,134.0,232.0233,MDL,OK,Лист3,172,173,
MED-0082,Amiodarona 150 mg sol.inj.N10,2012.5,250.0,8.05,MDL,OK,Лист3,174,175,
MED-0083,Amiodarona comp.200mg N30,449.99,360.0,1.25,MDL,OK,Лист3,176,177,
MED-0084,Amitriptilin clorhidrat-OZ sol. inj. 10 mg/ml 2 ml N10,257.55,110.0,2.3414,MDL,OK,Лист3,178,179,
MED-0085,Amitriptilin comp. film. 25 mg N10x5,37.57,100.0,0.3757,MDL,OK,Лист3,180,181,
MED-0086,Amlodipin comp 5mg.N28,734.4,2868.0,0.2561,MDL,OK,Лист3,182,183,
MED-0087,Amlodipin comp. 10 mg N10x3,640.8,1530.0,0.4188,MDL,OK,Лист3,184,185,
MED-0088,"Amoniac sol.0,1g/ml 40 ml N1",7.13,1.0,7.13,MDL,OK,Лист3,186,187,
MED-0089,Amoxicilina pulb./sol.inj.1000mg N10,30758.86,8850.0,3.4756,MDL,OK,Лист3,188,189,
MED-0090,Amoxiplus Atb pulb.sol.inj.perf.1000mg/200mg N25,13824.1,675.0,20.4801,MDL,OK,Лист3,190,191,
MED-0091,Ampicilina caps.500mgN10 *,1124.55,690.0,1.6298,MDL,OK,Лист3,192,193,
MED-0092,Ampicilina pulb./sol. inj. 1 g N1,32293.87,5310.0,6.0817,MDL,OK,Лист3,194,195,
MED-0093,Ampicilina pulb./sol. inj. 1 g N10,8265.95,1770.0,4.67,MDL,OK,Лист3,196,197,
MED-0094,Analgin 50% 2ml sol.injN10,6216.86,5190.0,1.1979,MDL,OK,Лист3,198,199,
MED-0095,Antigripal Kids(250mg/30mg/2mg)plic N10,100.0,40.0,2.5,MDL,OK,Лист3,200,201,
MED-0096,Anzaleptol comp.25mg N50,48.09,100.0,0.4809,MDL,OK,Лист3,202,203,
MED-0097,Apa pentru injectii diluent 2 ml N10,278.3,210.0,1.3252,MDL,OK,Лист3,204,205,
MED-0098,Arduan liof.+solv./sol. inj. 4 mg (N5 + 2 ml N5)x5,6896.49,175.0,39.4085,MDL,OK,Лист3,206,207,
MED-0099,"Arixtra™ sol. inj. ser. preump. 2,5 mg/0,5 ml N5x2",6042.42,80.0,75.5302,MDL,OK,Лист3,208,209,
MED-0100,"Arixtra™ sol. inj. ser. preump. 7,5 mg/0,5 ml N5x2",19759.22,80.0,246.9903,MDL,OK,Лист3,210,211,
MED-0101,Asist Plus gran/sol.orala 600mg/3grN30,4394.99,2040.0,2.1544,MDL,OK,Лист3,212,213,
MED-0102,Asparkam40mg+45.2mg/10mlsol. inj.N10,2306.96,590.0,3.9101,MDL,OK,Лист3,214,215,
MED-0103,Atoris 20 mg N 30,90.72,60.0,1.512,MDL,OK,Лист3,216,217,
MED-0104,Atoris 20mg comp.N30,90.72,60.0,1.512,MDL,OK,Лист3,218,219,
MED-0105,Atropini sulfatis sol. inj. 0.1% 1ml,2087.59,1360.0,1.535,MDL,OK,Лист3,220,221,
MED-0106,Azaleptol compr.25mg N50,49.48,100.0,0.4948,MDL,OK,Лист3,222,223,
MED-0107,Azinfexin(azitromicina) comp.250mgN6,73.53,12.0,6.1275,MDL,OK,Лист3,224,225,
MED-0108,Azitromicina pulb/sol.perf.500mg N1*,903.64,13.0,69.5108,MDL,OK,Лист3,226,227,
MED-0109,Azitromycin pt suspensie orala 200mg/5ml 20mlN1,76.66,2.0,38.33,MDL,OK,Лист3,228,229,
MED-0110,Azitromycina 500mg caps.N3,11660.43,2049.0,5.6908,MDL,OK,Лист3,230,231,
MED-0111,B COMPLEX Plus sol.inj.2ml.N10 *,10405.21,3480.0,2.99,MDL,OK,Лист3,232,233,
MED-0112,Bactox susp.orala.125mg/5ml 60ml N1,3381.44,85.0,39.7816,MDL,OK,Лист3,234,235,
MED-0113,Bactox susp.orala.250mg/5ml 60ml N1,1024.02,22.0,46.5464,MDL,OK,Лист3,236,237,
MED-0114,Bactox susp.orala.250Mg/5ml 60ml N1,418.42,9.0,46.4911,MDL,OK,Лист3,238,239,
MED-0115,Bahile medicale N1000,675.0,5000.0,0.135,MDL,OK,Лист3,240,241,
MED-0116,Banda adeziva pt fixarea catetirilor i/v steril 7#8cm,600.0,400.0,1.5,MDL,OK,Лист3,242,243,
MED-0117,Bandaj elastic,19080.0,400.0,47.7,MDL,OK,Лист3,244,245,
MED-0118,Bandaj elastic 10cm-3-4m,6629.04,600.0,11.0484,MDL,OK,Лист3,246,247,
MED-0119,Bandaj elastic 15cm x 5m,1344.6,60.0,22.41,MDL,OK,Лист3,248,249,
